ID,County,Year,Salaries
233,Offaly,2008,"24,128"
234,Westmeath,2008,"25,057"
235,Leitrim,2009,"24,667"
236,Sligo,2009,"23,935"
237,Cavan,2009,"24,393"
238,Donegal,2009,"20,339"
239,Monaghan,2009,"21,345"
240,Galway,2009,"25,883"
241,Mayo,2009,"22,853"
242,Roscommon,2009,"23,637"
243,Clare,2009,"24,712"
244,Limerick,2009,"25,127"
245,Tipperary,2009,"25,113"
246,Carlow,2009,"24,117"
247,Kilkenny,2009,"24,414"
248,Wexford,2009,"25,041"
249,Waterford,2009,"24,266"
250,Cork,2009,"26,450"
251,Kerry,2009,"22,230"
252,Dublin,2009,"30,425"
253,Kildare,2009,"28,657"
254,Louth,2009,"25,808"
255,Meath,2009,"28,642"
256,Wicklow,2009,"25,660"
257,Laois,2009,"24,831"
258,Longford,2009,"22,782"
259,Offaly,2009,"21,992"
260,Westmeath,2009,"23,534"
261,Leitrim,2010,"23,622"
262,Sligo,2010,"22,750"
263,Cavan,2010,"23,008"
264,Donegal,2010,"19,323"
265,Monaghan,2010,"20,347"
266,Galway,2010,"24,715"
267,Mayo,2010,"21,896"
268,Roscommon,2010,"22,371"
269,Clare,2010,"23,771"
270,Limerick,2010,"24,901"
271,Tipperary,2010,"23,639"
272,Carlow,2010,"22,784"
273,Kilkenny,2010,"22,401"
274,Wexford,2010,"23,578"
275,Waterford,2010,"23,084"
276,Cork,2010,"25,238"
277,Kerry,2010,"21,015"
278,Dublin,2010,"28,973"
279,Kildare,2010,"26,351"
280,Louth,2010,"23,663"
281,Meath,2010,"26,545"
282,Wicklow,2010,"24,250"
283,Laois,2010,"22,970"
284,Longford,2010,"21,520"
285,Offaly,2010,"20,462"
286,Westmeath,2010,"22,517"
287,Leitrim,2011,"22,419"
288,Sligo,2011,"22,464"
289,Cavan,2011,"21,022"
290,Donegal,2011,"18,999"
291,Monaghan,2011,"21,101"
292,Galway,2011,"22,888"
293,Mayo,2011,"21,434"
294,Roscommon,2011,"21,165"
295,Clare,2011,"22,428"
296,Limerick,2011,"27,214"
297,Tipperary,2011,"23,025"
298,Carlow,2011,"22,451"
299,Kilkenny,2011,"21,822"
300,Wexford,2011,"21,366"
301,Waterford,2011,"22,845"
302,Cork,2011,"24,725"
303,Kerry,2011,"21,055"
304,Dublin,2011,"29,331"
305,Kildare,2011,"25,571"
306,Louth,2011,"22,586"
307,Meath,2011,"24,432"
308,Wicklow,2011,"24,814"
309,Laois,2011,"22,126"
310,Longford,2011,"20,757"
311,Offaly,2011,"20,294"
312,Westmeath,2011,"22,002"
313,Leitrim,2012,"22,678"
314,Sligo,2012,"23,272"
315,Cavan,2012,"21,346"
316,Donegal,2012,"18,882"
317,Monaghan,2012,"20,079"
318,Galway,2012,"23,938"
319,Mayo,2012,"21,907"
320,Roscommon,2012,"21,475"
321,Clare,2012,"22,981"
322,Limerick,2012,"27,707"
323,Tipperary,2012,"22,829"
324,Carlow,2012,"22,888"
325,Kilkenny,2012,"22,348"
326,Wexford,2012,"21,781"
327,Waterford,2012,"23,446"
328,Cork,2012,"25,482"
329,Kerry,2012,"21,779"
330,Dublin,2012,"30,533"
331,Kildare,2012,"26,465"
332,Louth,2012,"22,931"
333,Meath,2012,"25,215"
334,Wicklow,2012,"25,624"
335,Laois,2012,"22,237"
336,Longford,2012,"21,343"
337,Offaly,2012,"20,588"
338,Westmeath,2012,"22,473"
339,Leitrim,2013,"21,981"
340,Sligo,2013,"22,952"
341,Cavan,2013,"21,168"
342,Donegal,2013,"18,282"
343,Monaghan,2013,"20,006"
344,Galway,2013,"23,043"
345,Mayo,2013,"21,058"
346,Roscommon,2013,"20,411"
347,Clare,2013,"22,108"
348,Limerick,2013,"26,942"
349,Tipperary,2013,"23,882"
350,Carlow,2013,"22,846"
351,Kilkenny,2013,"23,193"
352,Wexford,2013,"21,811"
353,Waterford,2013,"23,408"
354,Cork,2013,"25,596"
355,Kerry,2013,"20,997"
356,Dublin,2013,"30,205"
357,Kildare,2013,"25,651"
358,Louth,2013,"22,558"
359,Meath,2013,"24,267"
360,Wicklow,2013,"24,731"
361,Laois,2013,"22,698"
362,Longford,2013,"21,274"
363,Offaly,2013,"20,604"
364,Westmeath,2013,"22,106"
365,Leitrim,2014,"21,830"
366,Sligo,2014,"22,682"
367,Cavan,2014,"21,365"
368,Donegal,2014,"18,216"
369,Monaghan,2014,"20,469"
370,Galway,2014,"23,082"
371,Mayo,2014,"21,082"
372,Roscommon,2014,"20,641"
373,Clare,2014,"22,209"
374,Limerick,2014,"26,858"
375,Tipperary,2014,"23,137"
376,Carlow,2014,"23,434"
