id, County, Year, MeanPrice, SalesValue, SalesVolume,Type
425, Kildare,2016,241085.08,599.9,2473,Filling
426, Kilkenny,2016,153870.42,125.5,811,Filling
427, Laois,2016,116800.75,98.2,837,Filling
428, Leitrim,2016,81492.17,43.1,531,Filling
429, Limerick,2016,135616.5,289.5,2132,Filling
430, Longford,2016,78565.08,38.2,487,Filling
431, Louth,2016,144353.58,208.8,1433,Filling
432, Mayo,2016,99986.67,135,1355,Filling
433, Meath,2016,201792.58,383.6,1887,Filling
434, Monaghan,2016,108310.75,44.6,417,Filling
435, Offaly,2016,102407.42,67.8,660,Filling
436, Roscommon,2016,75837.33,60.5,802,Filling
437, Sligo,2016,101310.08,83.9,843,Filling
438, Tipperary,2016,105806.42,159.4,1499,Filling
439, Waterford,2016,127872.08,204.8,1595,Filling
440, Westmeath,2016,114901.5,125.7,1100,Filling
441, Wexford,2016,129908.25,231.1,1769,Filling
442, Wicklow,2016,286193,443.4,1550,Filling
443, Carlow,2017,125882.75,75.7,600,Filling
444, Cavan,2017,107734.33,100.8,938,Filling
445, Clare,2017,131093,187.8,1437,Filling
446, Cork,2017,196039.5,1320.2,6723,Filling
447, Donegal,2017,100553.83,156.6,1556,Filling
448, Dublin,2017,376293.5,7708.9,20543,Filling
449, Galway,2017,179403.5,546,3032,Filling
450, Kerry,2017,130769.67,245.4,1869,Filling
451, Kildare,2017,245027.08,739.5,3000,Filling
452, Kilkenny,2017,154081.75,133.6,863,Filling
453, Laois,2017,135493.33,121,897,Filling
454, Leitrim,2017,91110.75,47.6,519,Filling
455, Limerick,2017,149008.5,334.7,2247,Filling
456, Longford,2017,83494.75,39.1,468,Filling
457, Louth,2017,168577.42,256.4,1512,Filling
458, Mayo,2017,113277.08,154.1,1359,Filling
459, Meath,2017,231017.5,580.4,2491,Filling
460, Monaghan,2017,113998.75,54.6,481,Filling
461, Offaly,2017,122841.33,96.2,784,Filling
462, Roscommon,2017,94261.67,73.7,787,Filling
463, Sligo,2017,119522.83,99.6,832,Filling
464, Tipperary,2017,115318.5,191.6,1659,Filling
465, Waterford,2017,138751.08,214.9,1554,Filling
466, Westmeath,2017,126151.67,153.5,1248,Filling
467, Wexford,2017,143920.17,283,1955,Filling
468, Wicklow,2017,300158.58,542.6,1816,Filling
469, Carlow,2018,143115.92,105.6,745,Filling
470, Cavan,2018,123016.25,106.8,859,Filling
471, Clare,2018,174292.5,221.7,1276,Filling
472, Cork,2018,221037.08,1475.7,6686,Filling
473, Donegal,2018,98985.08,171.4,1710,Filling
474, Dublin,2018,390574.25,8319.4,21285,Filling
475, Galway,2018,196047.92,591.8,2999,Filling
476, Kerry,2018,138848.92,268.4,1949,Filling
477, Kildare,2018,273780.08,871.4,3193,Filling
478, Kilkenny,2018,180090.75,169.3,932,Filling
479, Laois,2018,145681.33,136.4,934,Filling
480, Leitrim,2018,100501,52.3,518,Filling
481, Limerick,2018,168110.58,405.7,2413,Filling
